,JUDUL_BUKU,HARGA
0,A Light in the Attic,£51.77
1,Tipping the Velvet,£53.74
2,Soumission,£50.10
3,Sharp Objects,£47.82
4,Sapiens: A Brief History of Humankind,£54.23
5,The Requiem Red,£22.65
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
9,The Black Maria,£52.15
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
11,Shakespeare's Sonnets,£20.66
12,Set Me Free,£17.46
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
14,Rip it Up and Start Again,£35.02
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
16,Olio,£23.88
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
18,Libertarianism for Beginners,£51.33
19,It's Only the Himalayas,£45.17
20,In Her Wake,£12.84
21,How Music Works,£37.32
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
23,Chase Me (Paris Nights #2),£25.27
24,Black Dust,£34.53
25,Birdsong: A Story in Pictures,£54.64
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
27,Aladdin and His Wonderful Lamp,£53.13
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,£40.30
29,Wall and Piece,£44.18
30,The Four Agreements: A Practical Guide to Personal Freedom,£17.66
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
32,The Elephant Tree,£23.82
33,The Bear and the Piano,£36.89
34,Sophie's World,£15.94
35,Penny Maybe,£33.29
36,Maude (1883-1993):She Grew Up with the country,£18.02
37,"In a Dark, Dark Wood",£19.63
38,Behind Closed Doors,£52.22
39,You can't bury them all: Poems,£33.63
40,Slow States of Collapse: Poems,£57.31
41,Reasons to Stay Alive,£26.41
42,Private Paris (Private #10),£47.61
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11
44,Without Borders (Wanderlove #1),£45.07
45,When We Collided,£31.77
46,"We Love You, Charlie Freeman",£50.27
47,Untitled Collection: Sabbath Poems 2014,£14.27
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18
49,Unicorn Tracks,£18.78
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12
53,This One Summer,£19.49
54,Thirst,£17.27
55,The Torch Is Passed: A Harding Family Story,£19.09
56,The Secret of Dreadwillow Carse,£56.13
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41
58,The Past Never Ends,£56.50
59,The Natural History of Us (The Fine Art of Pretending #2),£45.22
60,The Nameless City (The Nameless City #1),£38.16
61,The Murder That Never Was (Forensic Instincts #5),£54.11
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06
68,The Death of Humanity: and the Case for Life,£58.11
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05
70,The Art Forger,£40.76
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83
74,Soul Reader,£39.58
75,Security,£39.25
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04
78,Reskilling America: Learning to Labor in the Twenty-First Century,£19.83
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40
